,card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,sex,race
0,1,0,37.66667,4.52,0.03326991,124.9833,yes,no,3,54,1,12,Male,White
1,1,0,33.25,2.42,0.005216942,9.854167,no,no,3,34,1,13,Male,White
2,1,0,33.66667,4.5,0.0041555559999999,15.0,yes,no,4,58,1,5,Male,White
3,1,0,30.5,2.54,0.06521378,137.8692,no,no,0,25,1,7,Male,White
4,1,0,32.16667,9.7867,0.06705059,546.5033,yes,no,2,64,1,5,Male,Other
5,1,0,23.25,2.5,0.0444384,91.99667,no,no,0,54,1,1,Male,White
6,1,0,27.91667,3.96,0.01257576,40.83333,no,no,2,7,1,5,Female,Other
7,1,0,29.16667,2.37,0.07643376,150.79,yes,no,0,77,1,3,Male,White
8,1,0,37.0,3.8,0.2456279,777.8217,yes,no,0,97,1,6,Male,Other
9,1,0,28.41667,3.2,0.01978,52.58,no,no,0,65,1,18,Male,Other
10,1,0,30.5,3.95,0.07802456,256.6642,yes,no,1,24,1,20,Male,White
11,0,0,42.0,1.98,0.0006060605999999,0.0,yes,no,2,36,1,0,Male,Black
12,0,0,30.0,1.73,0.0006936416,0.0,yes,no,1,42,0,12,Female,Other
13,1,0,28.83333,2.45,0.03879551,78.87416999999999,yes,no,0,26,1,3,Male,White
14,1,0,35.33333,1.908,0.02690671,42.615,yes,no,2,120,0,5,Female,Black
15,1,0,41.16667,3.2,0.1258194,335.435,yes,no,1,168,1,22,Female,White
16,1,0,40.08333,4.0,0.07481575,248.7192,yes,no,2,96,1,0,Male,Other
17,0,7,29.5,3.0,0.0004,0.0,yes,no,2,60,1,8,Female,Black
18,1,0,39.5,9.9999,0.06579486,548.035,yes,yes,0,28,1,0,Male,White
19,0,3,45.75,3.4,0.0003529412,0.0,no,no,0,28,1,10,Female,White
20,1,0,35.25,2.35,0.02238596,43.33917,yes,no,2,115,1,1,Male,Black
21,0,1,25.16667,1.875,0.00064,0.0,no,no,2,7,0,2,Male,Other
22,1,0,34.25,2.0,0.1311119999999999,218.52,yes,no,0,12,1,0,Male,White
23,1,1,35.75,4.0,0.05119225,170.6408,no,no,2,18,1,22,Female,Other
24,1,0,42.66667,5.14,0.008949417,37.58333,yes,no,2,13,1,17,Male,White
25,1,0,30.25,4.506,0.1337421,502.2017,no,no,2,38,1,7,Male,Other
26,0,0,21.66667,3.84,0.0003125,0.0,no,yes,1,12,0,1,Male,Other
27,1,0,22.25,1.5,0.058608,73.17667,no,no,0,64,1,6,Male,Other
28,0,0,34.25,2.5,0.0004799999999999,0.0,yes,no,1,12,1,0,Female,Black
29,1,0,40.0,5.5,0.3344595999999999,1532.773,yes,no,4,74,1,19,Female,Other
30,1,0,21.83333,2.0272,0.02532014,42.69083,no,no,0,9,0,5,Female,Other
31,1,1,29.41667,3.2,0.1567194,417.835,no,no,0,14,1,6,Female,Black
32,0,1,24.91667,3.15,0.0003809523999999,0.0,yes,no,1,40,1,5,Female,Black
33,1,0,21.0,2.4663,0.2689327999999999,552.7242,yes,no,1,12,1,10,Female,Black
34,1,0,23.83333,3.0,0.08901566,222.5392,no,no,0,12,1,5,Female,White
35,1,0,42.83333,3.5412,0.1834562,541.2958,yes,no,6,108,1,15,Male,White
36,0,0,42.58333,2.2845,0.000525279,0.0,no,no,2,46,1,0,Male,White
37,1,0,36.58333,5.7,0.1197418999999999,568.7742,yes,no,1,36,1,16,Male,Black
38,1,0,26.75,3.5,0.1181043,344.4708,no,no,0,2,1,14,Male,Black
39,1,0,27.75,4.6,0.1057438999999999,405.3517,yes,no,4,28,1,13,Male,Other
40,1,0,26.25,3.0,0.124375,310.9375,yes,no,0,7,1,10,Female,Other
41,1,0,23.33333,2.585,0.02505764,53.645,no,no,0,8,1,1,Male,Black
42,1,0,29.91667,1.51,0.05125828,63.91667,no,no,1,7,0,1,Male,Black
43,1,0,30.0,1.85,0.1075816,165.855,no,no,0,60,1,12,Female,Other
44,1,0,38.33333,2.6,0.004807692,9.583333,no,no,0,12,1,1,Male,White
45,0,0,28.16667,1.8,0.0006666667,0.0,no,yes,2,26,1,2,Female,Black
46,1,0,35.58333,2.0,0.192044,319.49,no,no,0,156,1,4,Female,Other
47,0,0,37.75,3.2628,0.0003677823,0.0,no,no,1,98,0,1,Female,White
48,1,0,26.08333,2.35,0.04285106,83.08334,no,no,1,30,0,2,Male,White
49,1,0,27.75,7.0,0.1105849,644.8283,yes,no,0,0,1,13,Male,Other
50,0,0,49.75,3.6,0.0003333333,0.0,no,no,2,12,0,0,Female,Black
51,1,0,24.25,2.0,0.0559685,93.1975,no,no,0,18,1,12,Female,White
52,1,0,20.66667,1.7,0.07420824,105.045,no,no,0,6,1,4,Male,White
53,1,0,23.75,2.8,0.014875,34.125,no,no,2,48,1,8,Female,White
54,1,0,25.75,2.4,0.02071958,41.18917,no,no,0,34,1,2,Female,Other
